"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1067925","Australia","Australia","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",3,1,"45 - 49","Other","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Zorbing, Luge, Skyway, Jetboating"
"GEN24_1067948","Germany","Germany","Female","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",3,0,"50 - 54","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Schwimmen mit Delfinen"
"GEN24_1068136","Taiwan","Rest of Asia","Male","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"60 - 64","VFR","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","9","Winery"
"GEN24_1068340","Australia","Australia","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","Holiday / vacation","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Dog Show"
"GEN24_1068664","Singapore","Rest of Asia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"45 - 49","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The fishing"
"GEN24_1069207","China, People's Republic of","China","Male","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,2,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","自驾沿途的风景与不同于自己国家的生活体验"
"GEN24_1069485","France","Rest of Europe","Female","Yes","Education","Some other educational purpose","What the visit to NZ cost just for yourself",NA,NA,"20 - 24","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Les oiseaux"
"GEN24_1069781","Australia","Australia","Female","Yes","Holiday / vacation","For some special event or occasion (non-sport-related)","What the visit cost for you and another person / people",2,0,"25 - 29","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","The wildlife sanctuaries"
"GEN24_1069994","South Africa","Africa and Middle East","Male","Yes","Visiting friends / relatives","For some other reason","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","Holiday / vacation","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Safety and cleanlyness"
"GEN24_1070354","United States of America","USA","Female","Yes","Visiting friends / relatives","To visit friends","What the visit cost for you and another person / people",2,3,"40 - 44","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The wildlife and learning about conservation efforts"
"GEN24_1070487","France","Rest of Europe","Female","Yes","Holiday / vacation","For your honeymoon","What the visit cost for you and another person / people",2,0,"25 - 29","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Lord of the Ring experiences"
"GEN24_1070489","Singapore","Rest of Asia","Female","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",4,0,"30 - 34","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife"
"GEN24_1070617","Australia","Australia","Female","No","Holiday / vacation","For some special event or occasion (non-sport-related)","What the visit cost for you and another person / people",2,0,"55 - 59","Other","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","7","Spending time with family"
"GEN24_1070632","Australia","Australia","Male","No","Holiday / vacation","For a working holiday","What the visit to NZ cost just for yourself",NA,NA,"45 - 49","Business","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Fishing"
"GEN24_1070828","China, People's Republic of","China","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",1,1,"35 - 39","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Fishing"
