"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1079254","Romania","Rest of Europe","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Cleanliness and civilization."
"GEN24_1079664","Italy","Rest of Europe","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Walking on the beaches at Karitane"
"GEN24_1079773","Malaysia","Rest of Asia","Female","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"55 - 59","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Stargazing, the day cruise"
"GEN24_1079866","Belgium","Rest of Europe","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Waterplane, Jet Boat, Helicopter and other activities"
"GEN24_1080279","Australia","Australia","Male","No","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"75 or older","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife conservation"
"GEN24_1080408","Canada","Canada","Male","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"50 - 54","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Hobbitson"
"GEN24_1080610","Australia","Australia","Male","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",4,0,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The Queenstown Bike Trails"
"GEN24_1080693","Canada","Canada","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"65 - 69","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Cycling!"
"GEN24_1080774","England","UK","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"55 - 59","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Parks and gardens. Art studios"
"GEN24_1080782","United States of America","USA","Female","No","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",2,0,"50 - 54","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton"
"GEN24_1080833","Australia","Australia","Female","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Activities such as the Franz Josef Glacier Hike, Queenstown Horse Trek and Kaikoura quad biking"
"GEN24_1081045","Wales","UK","Female","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"60 - 64","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Canopy Zipline, scenic Rafting,"
"GEN24_1081081","United States of America","USA","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"50 - 54","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The produce and dairy"
"GEN24_1081303","Finland","Rest of Europe","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"30 - 34","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Nature and birds"
"GEN24_1081325","Czech Republic","Rest of Europe","Female","Yes","Education","An exchange program","What the visit to NZ cost just for yourself",NA,NA,"Under 20","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Experiencing different way of life and education"
"GEN24_1081379","England","UK","Female","No","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"55 - 59","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife"
"GEN24_1081891","Korea, Republic of","Korea, Republic of","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"55 - 59","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","golfing"
"GEN24_1081942","England","UK","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8","boat trips and glaicer trip"
"GEN24_1082224","Australia","Australia","Male","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",3,0,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Movie set tours"
"GEN24_1082335","Korea, Republic of","Korea, Republic of","Male","Yes","Holiday / vacation","For your honeymoon","What the visit cost for you and another person / people",2,0,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","돌고래 수영"
"GEN24_1082462","United States of America","USA","Female","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"30 - 34","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8","coffee"
"GEN24_1082562","Australia","Australia","Female","No","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","6","Safe"
"GEN24_1082808","United States of America","USA","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Birds and Wildlife"
"GEN24_1083108","Germany","Germany","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"60 - 64","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Motorrad fahren"
"GEN24_1083182","Australia","Australia","Female","No","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"75 or older","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","cruising"
"GEN24_1083216","Switzerland","Rest of Europe","Female","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"55 - 59","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Nature and wildlife"
"GEN24_1083332","Australia","Australia","Female","No","Other","To watch a sporting event","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","Holiday / vacation","4 - Satisfied","Not sure","7","Seeing family who live in Australia"
"GEN24_1083358","United States of America","USA","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","Other","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Ironman 70.3"
"GEN24_1083545","United States of America","USA","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"70 - 74","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Getting to know the people with us on our tour and having someone knowledgeable doing the driving"
"GEN24_1084050","Italy","Rest of Europe","Female","Yes","Other","To take part (participate) in a sporting event","What the visit cost for you and another person / people",2,0,"55 - 59","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Respect for the environment and cleanliness"
"GEN24_1084122","Hong Kong (Special Administrative Region)","Rest of Asia","Female","Yes","Holiday / vacation","For some special event or occasion (non-sport-related)","What the visit cost for you and another person / people",2,0,"30 - 34","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Skydive"
"GEN24_1084140","England","UK","Male","Yes","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"75 or older","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Beaches"
"GEN24_1084148","Australia","Australia","Male","No","Visiting friends / relatives","For a wedding, funeral, other family occasion","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","Holiday / vacation","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Adult entertainment"
"GEN24_1084187","Germany","Germany","Female","Yes","Other","To take part (participate) in a sporting event","What the visit cost for you and another person / people",3,0,"60 - 64","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Den Strand und das Surfen"
"GEN24_1084600","Australia","Australia","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton"
"GEN24_1084602","Australia","Australia","Female","No","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Expedition cruise to Sub Antartic Islands"
"GEN24_25451","Australia","Australia","Female","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Seals and Whales"
"GEN24_26906","Australia","Australia","Female","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"25 - 29","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","National parks"
"GEN24_27087","United States of America","USA","Female","Yes","Holiday / vacation","For a working holiday","What the visit cost for you and another person / people",2,2,"40 - 44","Business","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton and the glow worm caves"
"GEN24_27136","Australia","Australia","Female","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"20 - 24","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton"
"GEN24_27480","Hong Kong (Special Administrative Region)","Rest of Asia","Male","Yes","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",5,0,"25 - 29","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Luge race"
"GEN24_27611","Singapore","Rest of Asia","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"50 - 54","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","6","Heli ride in Franz Josef"
"GEN24_27632","France","Rest of Europe","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"20 - 24","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Surfing"
"GEN24_27800","Netherlands","Rest of Europe","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Hobbiton"
"GEN24_28036","Singapore","Rest of Asia","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",5,0,"25 - 29","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Activities, skydiving"
"GEN24_28421","China, People's Republic of","China","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,2,"Under 20","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Beach"
"GEN24_28754","England","UK","Male","No","Visiting friends / relatives","For a wedding, funeral, other family occasion","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Roads are beautiful for cycling."
"GEN24_28850","Australia","Australia","Male","No","Visiting friends / relatives","For a wedding, funeral, other family occasion","What the visit cost for you and another person / people",2,0,"65 - 69","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hunting and fishing"
"GEN24_29038","Canada","Canada","Female","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Adventure activities and Lord of the Rings locations"
"GEN24_29040","Australia","Australia","Male","No","Holiday / vacation","For a working holiday","What the visit cost for you and another person / people",2,0,"50 - 54","Other","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Extreme sports"
"GEN24_30837","Belgium","Rest of Europe","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The overall cleanliness of public toilets"
